anime_id,title,genre,Score
111,Corrector Yui,"Adventure, Comedy, Sci-Fi",6.83
112,Chou Henshin Cosprayers,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",4.95
113,Uchuu no Stellvia,"Romance, Sci-Fi",7.38
114,Sakigake!! Cromartie Koukou,Comedy,7.93
115,Ijigen no Sekai El-Hazard,"Adventure, Comedy, Fantasy",6.83
116,Shinpi no Sekai El-Hazard (TV),,6.97
117,Shinpi no Sekai El-Hazard,"Adventure, Comedy, Fantasy, Romance",7.32
118,Shinpi no Sekai El-Hazard Season 2,"Adventure, Comedy, Fantasy",6.85
119,Final Approach,"Comedy, Drama, Romance",6.56
120,Fruits Basket,"Drama, Romance, Supernatural",7.69
121,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy",8.17
122,Full Moon wo Sagashite,"Comedy, Drama, Romance, Supernatural",7.96
123,Fushigi Yuugi,"Action, Adventure, Fantasy, Romance",7.64
124,Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance",6.86
125,Futakoi,"Comedy, Romance",6.49
126,Futakoi Alternative,"Comedy, Drama, Romance",6.91
127,Gate Keepers,"Comedy, Fantasy, Sci-Fi",6.96
128,Gate Keepers 21,"Drama, Sci-Fi",6.79
129,Gensoumaden Saiyuuki,"Action, Adventure, Drama, Fantasy",7.59
130,Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Supernatural",7.41
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Drama, Supernatural",7.42
132,GetBackers,"Action, Mystery, Supernatural",7.61
133,Green Green,"Comedy, Romance, Ecchi",6.21
134,Gunslinger Girl,"Action, Drama, Sci-Fi, Suspense",7.42
135,Hikaru no Go,"Comedy, Drama, Supernatural",8.11
136,Hunter x Hunter,"Action, Adventure, Fantasy",8.42
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Fantasy",8.33
138,Hunter x Hunter: Greed Island,"Action, Adventure, Fantasy",8.21
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Fantasy",8.29
141,Jinki:Extend,Sci-Fi,6.14
142,Kamikaze Kaitou Jeanne,"Action, Drama, Romance, Supernatural",7.45
143,Kannazuki no Miko,"Drama, Girls Love, Supernatural",6.87
144,Kanon,"Drama, Romance, Supernatural",7.11
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance",7.61
146,Kono Minikuku mo Utsukushii Sekai,"Comedy, Drama, Romance, Sci-Fi, Ecchi",6.76
147,Kimi ga Nozomu Eien,"Drama, Romance",7.24
148,Kita e.: Diamond Dust Drops,"Drama, Romance",6.62
149,Loveless,"Boys Love, Drama, Mystery, Supernatural",6.86
150,Blood+,"Action, Drama, Horror, Mystery, Supernatural",7.66
151,Re: Cutie Honey,"Action, Comedy, Girls Love, Sci-Fi, Ecchi",7.12
152,Solty Rei,"Action, Sci-Fi",7.28
153,Juuni Kokuki,"Action, Adventure, Fantasy",8.06
154,Shaman King,"Action, Adventure, Supernatural",7.78
155,X/1999,"Action, Drama, Fantasy, Mystery",6.59
156,X,"Action, Drama, Fantasy, Mystery",7.43
157,Mahou Sensei Negima!,"Action, Comedy, Fantasy, Romance, Ecchi",6.98
158,Maria-sama ga Miteru,"Drama, Girls Love",7.34
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Sci-Fi",6.34
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Sci-Fi",7.66
161,Peace Maker Kurogane,"Action, Comedy",7.33
162,Pita Ten,"Comedy, Fantasy, Romance",6.94
163,Power Stone,"Adventure, Comedy, Fantasy",6.48
164,Mononoke Hime,"Action, Adventure, Award Winning, Fantasy",8.72
165,RahXephon,"Award Winning, Drama, Mystery, Romance, Sci-Fi, Suspense",7.42
166,Samurai 7,Sci-Fi,7.48
167,Scrapped Princess,"Adventure, Drama, Fantasy, Sci-Fi",7.41
168,s.CRY.ed,"Action, Adventure, Drama, Sci-Fi",7.38
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Supernatural",6.91
170,Slam Dunk,Sports,8.53
171,Strange Dawn,"Adventure, Drama, Fantasy",6.35
173,Tactics,"Mystery, Supernatural",7.23
174,Tenjou Tenge,"Action, Drama, Supernatural, Ecchi",6.93
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi",6.63
176,Triangle Heart: Sweet Songs Forever,"Adventure, Romance",6.19
177,Tsubasa Chronicle,"Action, Adventure, Drama, Fantasy, Romance",7.55
178,Ultra Maniac,"Comedy, Fantasy, Romance",7.18
179,Ultra Maniac OVA,"Comedy, Fantasy, Romance",6.69
180,Vandread,"Sci-Fi, Ecchi",7.21
181,Vandread: The Second Stage,"Sci-Fi, Ecchi",7.42
182,Tenkuu no Escaflowne,"Adventure, Fantasy, Romance",7.7
183,Whistle!,Sports,7.39
184,Xenosaga The Animation,Sci-Fi,6.37
185,Initial D First Stage,"Action, Drama",8.29
186,Initial D Second Stage,"Action, Drama",8.12
187,Initial D Third Stage,"Action, Drama",7.89
188,Gosenzo Sane,"Comedy, Mystery, Supernatural, Hentai",6.11
189,Love Hina,"Comedy, Romance, Ecchi",7.14
190,Love Hina Again,"Comedy, Romance, Ecchi",7.25
191,Love Hina Christmas Special: Silent Eve,"Comedy, Romance",7.34
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",7.21
193,Maburaho,"Comedy, Drama, Romance, Ecchi",6.8
194,Macross Zero,"Adventure, Sci-Fi",7.55
195,Onegai☆Teacher,"Drama, Romance, Sci-Fi",7.17
196,Onegai☆Twins,"Comedy, Drama, Sci-Fi",6.88
197,Rizelmine,"Comedy, Romance, Sci-Fi, Ecchi",6.55
198,Speed Grapher,"Action, Mystery, Suspense",7.35
199,Sen to Chihiro no Kamikakushi,"Adventure, Award Winning, Fantasy",8.83
200,Tenshi na Konamaiki,"Comedy, Romance",7.48
201,Video Girl Ai,"Comedy, Drama, Romance, Ecchi",7.21
202,Wolf's Rain,"Action, Adventure, Drama, Fantasy, Mystery",7.82
203,Words Worth,,6.75
204,Yumeria,"Action, Comedy, Ecchi",6.11
205,Samurai Champloo,"Action, Adventure, Comedy",8.5
206,Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Fantasy, Romance",7.16
207,Lodoss-tou Senki,"Action, Adventure, Fantasy",7.4
208,R.O.D: Read or Die,"Action, Adventure, Mystery, Sci-Fi",7.67
209,R.O.D: The TV,"Action, Adventure, Comedy, Drama, Sci-Fi",7.55
210,Ranma ½,"Action, Comedy, Romance, Ecchi",7.76
211,Pure Mail,Hentai,6.26
212,Project A-Ko,"Adventure, Comedy, Sci-Fi",6.86
213,Pia Carrot e Youkoso!!,"Comedy, Hentai",6.02
214,Pia Carrot e Youkoso!! 2,"Comedy, Hentai",6.15
215,Pia Carrot e Youkoso!! 2 DX,"Comedy, Romance",6.31
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"Comedy, Romance",5.94
217,Shin Angel,"Comedy, Drama, Hentai",6.28
218,Kidou Senkan Nadesico,"Comedy, Romance, Sci-Fi",7.52
219,Kidou Senkan Nadesico: The Prince of Darkness,"Award Winning, Drama, Sci-Fi",6.77
220,Kuro no Danshou,"Horror, Hentai",5.76
221,Mezzo Forte,"Action, Comedy, Sci-Fi, Hentai",6.65
222,Mezzo DSA,"Action, Adventure, Comedy, Mystery, Sci-Fi",6.68
223,Dragon Ball,"Action, Adventure, Comedy, Fantasy",8
225,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy",6.48
226,Elfen Lied,"Action, Drama, Horror, Romance, Suspense",7.56
227,FLCL,"Avant Garde, Comedy, Sci-Fi, Suspense",8.03
228,Jigoku Shoujo,"Horror, Mystery, Supernatural, Suspense",7.65
229,Ninin ga Shinobuden,Comedy,6.92
230,Air Master,"Action, Comedy",7.02
231,Asagiri no Miko,"Action, Comedy, Supernatural",6.18
232,Cardcaptor Sakura,,8.16
233,Daa! Daa! Daa!,"Comedy, Sci-Fi",7.65
234,Dan Doh!!,"Adventure, Sports",6.69
235,Meitantei Conan,"Adventure, Comedy, Mystery",8.16
236,E's Otherwise,"Action, Adventure, Drama, Sci-Fi",6.64
